Model,N,Prevalence,Brier_pre,Brier_post,BSS_post,ECE_pre,ECE_post,ROC_AUC,Calibration_method,R_hat_max,ESS_min,Divergences
owner_FI,29,0.31,0.2296,0.2115,0.0119,0.2035,0.0445,0.5556,platt,1.0,2878,0
owner_RL,50,0.34,0.2806,0.2202,0.0185,0.1998,0.0467,0.3815,platt,1.0,6110,0
renter_FI,157,0.312,0.2179,0.1887,0.1211,0.1798,0.0902,0.6982,platt,1.0,5740,0
renter_EH,103,0.282,0.1975,0.1912,0.0548,0.0776,0.044,0.6414,platt,1.0,5990,0
renter_BP,103,0.204,0.1895,0.1587,0.0222,0.1653,0.014,0.5784,platt,1.0,6298,0
renter_RL,50,0.34,0.2799,0.2198,0.0204,0.1821,0.0566,0.3725,platt,1.0,6156,0
